user_id,betweenness_centrality
pou3BbKsIozfH50rxmnMew,0.1618301082945381
8lEywHSvti2UjFP8ODbnHg,0.13830636624821904
KtMBaPrHLPwbvzPnlUHT_g,0.10525786616816674
3gRfkaVcEWri-Ju7OQX7uQ,0.10452436775043936
SbpGncVoxFIi_J2xOelJYQ,0.08561741687979893
eBGP1x9LVJ03Ca5R_B8Meg,0.08398485850227733
QeXNVcZKKDnSYFnHqviaKQ,0.08328609878486538
84t6jpyclA55TMfMV0X0kA,0.08255310258130896
VtiE3eXNYtH-tb0aFCF1Pw,0.07691585376175339
M6Ia3xJ3twatEyIctiRw1Q,0.07112092933077008
8Nvvqnb60aFlZutylZd-Aw,0.06938932741540738
d6BZBcdqVyKYzfaRwwR7zQ,0.062478213356603314
CbjHToIoS5hWzx753Je49A,0.060916249436535015
Z_NbL7FJ5exP0H98cdIn4g,0.06003307515897101
tUOD2bXFLaiYP5_KeKJNOA,0.05956327917830531
xgmPE8LNUZNWosF4v8WCwg,0.05944172456272918
OQPVSdw27zLdiUpKT-N_mg,0.05785597867016045
y77GGCw8wEyLK9gHrjOjTA,0.05758455267377622
yh8_9Ix1wp9dekvyOZbilQ,0.05641109008299423
eeErZzgWenz9ck7FGdFUfw,0.05400039321479212
rCx7tb3toOJUsvdOeqYY0g,0.05211672141417058
fIhAh0HzHRqTb05Y1xSW8g,0.04975709109630742
lGj7s42BJx_Xg7ZgaO_dmA,0.0480300507456434
aaEr2-3Qaa4jo9rkjiqibA,0.04778883134451478
WwNljhdeoefx8e2O9ZbWHw,0.047642979571427886
ZQzkXzM3rbnNMSRX3l0oNA,0.046078218317641834
CrwGRb6qw2l72LtteCADiQ,0.04572672958763197
cK5es7ZqWTkJvyiFXSNMug,0.0455153538821018
KczjaV4JZGj0AFDfFDhz2g,0.04520828265271907
Rrnda3vMeNMTBw_h3tN2Ow,0.045131657477833355
9ZZL9yvQUrADnk8AOYiPYA,0.04500497011918671
K3XFJHpZl1yACLvHtHYOSw,0.04473340449694193
wian7YKGSa2L57WSRQlfrQ,0.04397007952190699
xJxtHt9Rvdy75EMvVtcN9g,0.043459012642958456
_KSU4O7yIHuolQ7rmg0sOw,0.04254735491765296
96Jnn2Er-ejTPzicuYvVaA,0.04251001645866279
2mE9K_aGFRx2qo9nnJoFgA,0.04242296425017501
6kep14ef_oCotaGV72SuCw,0.04237372171178839
YAOIJqrdF9pbFoQXN4BYsQ,0.04188317034707899
JnGtgOPpkjyWOvWM0SYEXg,0.040328640388774116
CqbQaDjZEOJVbbTFkwgdng,0.039747431403941484
OlC8VsXT6fLYNlRifS5pBg,0.03922127186972639
NWKkrswnlRkSrqF1IzliDQ,0.039080769493187284
3JwVAcKGhxc6VbW0yVUqfQ,0.03879562653550841
gZHCbDOkHdHIk2d02FN3kw,0.0361285537883723
QlcA_ALb9-9Khpuyou7Wfw,0.03588691805019557
Ic6-gs1_FjrWGx6JIr95Mw,0.035806824194470975
W7ze3kEq4Br2JIOPP8okNA,0.0339080629922697
nhlXSTW453F3587FKo-Rsw,0.03374570562118175
DD9G_OSTN2xCjOBxHozTIA,0.0328839191703567
